State,District,Market,Commodity,Modal_x0020_Price,,,,,
Andhra Pradesh,Anantapur,Hindupur,Tamarind Fruit,18000,,,,,
Andhra Pradesh,Anantapur,Hindupur,Tamarind Fruit,6000,,,,,
Andhra Pradesh,Anantapur,Rayadurg,Tamarind Fruit,10000,,,,,
Andhra Pradesh,Chittor,Madanapalli,Tomato,900,,,,,
Andhra Pradesh,Chittor,Palamaner,Cluster beans,2500,,,,,
Andhra Pradesh,East Godavari,Ravulapelem,Banana,1600,,,,,
Andhra Pradesh,East Godavari,Ravulapelem,Banana,2900,,,,,
Andhra Pradesh,East Godavari,Ravulapelem,Banana,1800,,,,,
Andhra Pradesh,East Godavari,Ravulapelem,Banana,3100,,,,,
Andhra Pradesh,Guntur,Duggirala,Turmeric,9950,,,,,
Andhra Pradesh,Guntur,Guntur,Dry Chillies,13000,,,,,
Andhra Pradesh,Guntur,Guntur,Dry Chillies,12500,,,,,
Andhra Pradesh,Guntur,Guntur,Dry Chillies,6000,,,,,
Andhra Pradesh,Guntur,Pidugurala(Palnadu),Dry Chillies,11500,,,,,
Andhra Pradesh,Krishna,Tiruvuru,Maize,2250,,,,,
Andhra Pradesh,Krishna,Tiruvuru,Rice,4600,,,,,
Andhra Pradesh,Kurnool,Adoni,Castor Seed,6019,,,,,
Andhra Pradesh,Kurnool,Kurnool,Ajwan,17092,,,,,
Andhra Pradesh,Kurnool,Kurnool,Arhar (Tur/Red Gram)(Whole),7259,,,,,
Andhra Pradesh,Kurnool,Kurnool,Bengal Gram(Gram)(Whole),5329,,,,,
Andhra Pradesh,Kurnool,Kurnool,Onion,1150,,,,,
Andhra Pradesh,Kurnool,Nandyal,Jowar(Sorghum),2000,,,,,
Andhra Pradesh,Kurnool,Nandyal,Maize,2200,,,,,
Andhra Pradesh,Kurnool,Yemmiganur,Arhar (Tur/Red Gram)(Whole),5970,,,,,
Assam,Barpeta,Barpeta Road,Bhindi(Ladies Finger),3800,,,,,
Assam,Barpeta,Barpeta Road,Bitter gourd,2000,,,,,
Assam,Barpeta,Barpeta Road,Drumstick,4500,,,,,
Assam,Barpeta,Barpeta Road,Ginger(Green),4500,,,,,
Assam,Cachar,Fatakbazar,Bhindi(Ladies Finger),5300,,,,,
Assam,Cachar,Fatakbazar,Capsicum,1100,,,,,
Assam,Cachar,Fatakbazar,Green Chilli,3000,,,,,
Assam,Cachar,Fatakbazar,Pumpkin,1300,,,,,
Assam,Darrang,Balugaon,Bhindi(Ladies Finger),4200,,,,,
Assam,Darrang,Balugaon,Green Chilli,2400,,,,,
Assam,Goalpara,Sonari,Bitter gourd,2800,,,,,
Assam,Goalpara,Sonari,Capsicum,1000,,,,,
Assam,Goalpara,Sonari,Lemon,3335,,,,,
Assam,Golaghat,Golaghat,Tomato,1300,,,,,
Assam,Jorhat,Jorhat,Brinjal,1500,,,,,
Assam,Jorhat,Jorhat,Green Chilli,2600,,,,,
Assam,Jorhat,Jorhat,Lemon,4268.8,,,,,
Assam,Jorhat,Jorhat,Pumpkin,1000,,,,,
Assam,Kamrup,Brahmaputra Private Market,Beans,1700,,,,,
Assam,Kamrup,Brahmaputra Private Market,Green Chilli,3800,,,,,
Assam,Kamrup,Pamohi(Garchuk),Cauliflower,1200,,,,,
Assam,Kamrup,Pamohi(Garchuk),Ginger(Green),4400,,,,,
Assam,Kamrup,Pamohi(Garchuk),Green Chilli,3600,,,,,
Assam,Kamrup,Pamohi(Garchuk),Tomato,1000,,,,,
Assam,Karbi Anglong,Diphu,Cauliflower,1200,,,,,
Assam,Karbi Anglong,Diphu,Ginger(Green),4600,,,,,
Assam,Karbi Anglong,Diphu,Lemon,3335,,,,,
Assam,Kokrajhar,Saraibil,Green Chilli,3500,,,,,
Assam,Lakhimpur,Kakoi Weekly Market,Cauliflower,1000,,,,,
Assam,MORIGAON,Burhagaon,Cabbage,600,,,,,
Assam,MORIGAON,Burhagaon,Ginger(Green),4200,,,,,
Assam,MORIGAON,Burhagaon,Pumpkin,900,,,,,
Assam,Nagaon,Ambagan,Cabbage,600,,,,,
